Sequence_Name,mcg,gvh,lip,chg,aac,alm1,alm2,class,Outlier
PROX_ECOLI,0.64,0.78,0.48,0.5,0.5,0.36,0.38,pp,no
PSTS_ECOLI,0.62,0.78,0.48,0.5,0.47,0.49,0.54,pp,no
PTR_ECOLI,0.76,0.73,0.48,0.5,0.44,0.39,0.39,pp,no
RBSB_ECOLI,0.64,0.81,0.48,0.5,0.37,0.39,0.44,pp,no
SPEA_ECOLI,0.29,0.39,0.48,0.5,0.52,0.4,0.48,pp,no
SUBI_ECOLI,0.62,0.83,0.48,0.5,0.46,0.36,0.4,pp,no
TBPA_ECOLI,0.56,0.54,0.48,0.5,0.43,0.37,0.3,pp,no
TESA_ECOLI,0.69,0.66,0.48,0.5,0.41,0.5,0.25,pp,no
TOLB_ECOLI,0.69,0.65,0.48,0.5,0.63,0.48,0.41,pp,no
TORA_ECOLI,0.43,0.59,0.48,0.5,0.52,0.49,0.56,pp,no
TREA_ECOLI,0.74,0.56,0.48,0.5,0.47,0.68,0.3,pp,no
UGPB_ECOLI,0.71,0.57,0.48,0.5,0.48,0.35,0.32,pp,no
USHA_ECOLI,0.61,0.6,0.48,0.5,0.44,0.39,0.38,pp,no
XYLF_ECOLI,0.59,0.61,0.48,0.5,0.42,0.42,0.37,pp,no
YTFQ_ECOLI,0.74,0.74,0.48,0.5,0.31,0.53,0.52,pp,no
